City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Correia Pinto,BR,2021-09-12 02:08:41,-27.5847,-50.3611,51.33,89,0,3.02,clear sky
144,Port-Cartier,CA,2021-09-12 02:08:41,50.0334,-66.8654,54.75,73,3,4.36,clear sky
145,Shache,CN,2021-09-12 02:08:42,38.4167,77.2406,73.9,28,98,13.78,overcast clouds
146,Imphal,IN,2021-09-12 02:08:42,24.8167,93.95,76.71,75,99,1.81,overcast clouds
147,Luderitz,NA,2021-09-12 02:08:43,-26.6481,15.1594,56.7,70,0,11.95,clear sky
148,Saint-Pierre,RE,2021-09-12 02:08:43,-21.3393,55.4781,67.68,74,75,10.36,broken clouds
149,Camacha,PT,2021-09-12 02:08:44,33.0833,-16.3333,72.54,94,75,6.91,broken clouds
150,Avarua,CK,2021-09-12 02:07:05,-21.2078,-159.775,77.05,78,90,13.8,overcast clouds
151,Cap Malheureux,MU,2021-09-12 02:08:44,-19.9842,57.6142,71.47,72,1,8.99,clear sky
152,Hamilton,US,2021-09-12 02:05:57,39.1834,-84.5333,75.78,72,1,1.99,clear sky
153,Alghero,IT,2021-09-12 02:08:45,40.5589,8.3181,64.49,94,0,2.3,clear sky
154,Longyearbyen,SJ,2021-09-12 02:08:45,78.2186,15.6401,33.64,69,0,14.97,clear sky
155,Svetlyy,RU,2021-09-12 02:08:46,54.675,20.1347,62.65,95,61,6.73,broken clouds
156,Xining,CN,2021-09-12 02:08:47,36.6167,101.7667,64.94,56,7,3.29,clear sky
157,Saskylakh,RU,2021-09-12 02:08:47,71.9167,114.0833,49.77,57,63,11.81,broken clouds
158,Vawkavysk,BY,2021-09-12 02:08:48,53.1561,24.4513,56.1,73,100,6.08,overcast clouds
159,Tynda,RU,2021-09-12 02:08:48,55.1667,124.7167,56.73,69,7,3.04,clear sky
160,Quatre Cocos,MU,2021-09-12 02:08:49,-20.2078,57.7625,71.1,77,30,20.62,scattered clouds
161,Takoradi,GH,2021-09-12 02:07:25,4.8845,-1.7554,75.25,93,28,6.35,scattered clouds
162,Carnarvon,AU,2021-09-12 02:08:50,-24.8667,113.6333,73.47,28,0,17.27,clear sky
163,Vila Franca Do Campo,PT,2021-09-12 02:08:50,37.7167,-25.4333,66.61,75,98,12.57,overcast clouds
164,San Gabriel Casa Blanca,MX,2021-09-12 02:08:51,18.15,-97.1333,70.81,90,99,4.29,overcast clouds
165,Borba,BR,2021-09-12 02:08:51,-4.3878,-59.5939,74.61,90,100,2.66,light rain
166,Paramirim,BR,2021-09-12 02:08:52,-13.4425,-42.2389,73.89,41,0,4.14,clear sky
167,Bilma,NE,2021-09-12 02:08:52,18.6853,12.9164,89.11,22,47,5.86,scattered clouds
168,Port Hedland,AU,2021-09-12 02:07:54,-20.3167,118.5667,80.65,54,0,8.05,clear sky
169,Kalmunai,LK,2021-09-12 02:08:53,7.4167,81.8167,80.91,65,99,3.27,overcast clouds
170,Esperance,AU,2021-09-12 02:04:36,-33.8667,121.9,54.77,58,100,8.61,overcast clouds
171,Gat,IL,2021-09-12 02:08:54,31.61,34.7642,74.08,57,94,5.61,overcast clouds
172,Talnakh,RU,2021-09-12 02:08:54,69.4865,88.3972,44.58,93,99,11.83,moderate rain
173,Mahuva,IN,2021-09-12 02:08:55,21.0914,71.7622,79.34,89,75,12.62,broken clouds
174,Marienburg,PL,2021-09-12 02:08:55,54.0359,19.0266,62.85,94,23,5.41,few clouds
175,Strezhevoy,RU,2021-09-12 02:08:56,60.7333,77.5889,42.78,92,82,6.82,broken clouds
176,Quelimane,MZ,2021-09-12 02:04:20,-17.8786,36.8883,71.83,73,100,4.52,overcast clouds
177,Ayagoz,KZ,2021-09-12 02:08:56,47.9714,80.4392,58.17,32,100,16.04,overcast clouds
178,Buchanan,LR,2021-09-12 02:05:18,5.8808,-10.0467,76.93,90,100,5.91,light rain
179,Port Alfred,ZA,2021-09-12 02:08:57,-33.5906,26.891,63.7,89,27,13.56,scattered clouds
180,Vazante,BR,2021-09-12 02:08:57,-17.9869,-46.9078,77.99,24,4,1.39,clear sky
181,Belyy Yar,RU,2021-09-12 02:08:58,53.6039,91.3903,53.49,66,0,8.95,clear sky
182,Ahipara,NZ,2021-09-12 02:08:58,-35.1667,173.1667,59.72,59,36,6.76,scattered clouds
183,Serebryansk,KZ,2021-09-12 02:08:59,49.6925,83.2892,63.95,33,100,7.43,overcast clouds
184,Severo-Kurilsk,RU,2021-09-12 02:08:59,50.6789,156.125,49.86,72,100,3.76,overcast clouds
185,Bambous Virieux,MU,2021-09-12 02:09:00,-20.3428,57.7575,71.22,76,28,20.69,scattered clouds
186,Goderich,CA,2021-09-12 02:04:17,43.7501,-81.7165,73.9,79,60,20.09,broken clouds
187,Miguel Calmon,BR,2021-09-12 02:09:00,-11.4289,-40.595,67.28,83,0,5.53,clear sky
188,Semey,KZ,2021-09-12 02:09:01,50.4111,80.2275,53.82,94,90,11.18,overcast clouds
189,Bandarbeyla,SO,2021-09-12 02:05:54,9.4942,50.8122,79.47,72,100,29.06,overcast clouds
190,Worthington,US,2021-09-12 02:09:02,40.0931,-83.018,73.62,72,1,1.01,clear sky
191,Petrovac,RS,2021-09-12 02:09:02,44.3769,21.4192,57.15,45,1,2.68,clear sky
192,Port Augusta,AU,2021-09-12 02:09:03,-32.5,137.7667,61.7,30,24,16.89,few clouds
193,Terra Santa,BR,2021-09-12 02:09:03,-2.1042,-56.4869,81.14,58,85,2.39,overcast clouds
194,Okhotsk,RU,2021-09-12 02:08:06,59.3833,143.3,55.76,48,4,3.44,clear sky
195,Cabo San Lucas,MX,2021-09-12 02:05:13,22.8909,-109.9124,83.5,82,1,7.0,clear sky
196,Hattiesburg,US,2021-09-12 02:09:04,31.3271,-89.2903,74.64,90,1,0.0,clear sky
197,Altamont,US,2021-09-12 02:09:05,42.2068,-121.7372,74.39,33,1,1.99,smoke
198,Sisimiut,GL,2021-09-12 02:09:05,66.9395,-53.6735,30.63,52,23,12.37,few clouds
199,Kapaa,US,2021-09-12 02:09:06,22.0752,-159.319,84.18,68,20,3.0,few clouds
200,Nong Khai,TH,2021-09-12 02:09:06,17.9167,103.0833,84.27,81,58,4.61,broken clouds
201,Saint-Francois,FR,2021-09-12 02:09:07,46.4154,3.9054,53.04,100,90,0.0,fog
202,Naryan-Mar,RU,2021-09-12 02:09:08,67.6713,53.087,34.83,89,100,8.39,overcast clouds
203,Karpogory,RU,2021-09-12 02:09:08,64.0019,44.4451,32.29,97,22,3.53,few clouds
204,Tura,IN,2021-09-12 02:09:09,25.5198,90.2201,79.5,87,100,2.55,overcast clouds
205,Boguchany,RU,2021-09-12 02:09:09,58.3814,97.4531,52.0,62,100,9.42,overcast clouds
206,Sokolo,ML,2021-09-12 02:09:10,14.7328,-6.1219,79.56,61,50,8.3,scattered clouds
207,Najran,SA,2021-09-12 02:09:10,17.4924,44.1277,77.41,22,51,4.21,broken clouds
208,Bima,ID,2021-09-12 02:09:11,-8.4667,118.7167,90.57,49,27,1.68,scattered clouds
209,Nandgaon,IN,2021-09-12 02:09:12,20.3167,74.65,75.58,85,86,14.07,overcast clouds
210,Chumphon,TH,2021-09-12 02:09:12,10.3333,98.8333,77.47,87,100,7.7,overcast clouds
211,Tiznit,MA,2021-09-12 02:09:13,29.5833,-9.5,77.43,34,19,1.63,few clouds
212,Tual,ID,2021-09-12 02:09:13,-5.6667,132.75,80.6,80,100,12.19,overcast clouds
213,Richards Bay,ZA,2021-09-12 02:09:14,-28.783,32.0377,64.89,68,0,17.96,clear sky
214,Acarau,BR,2021-09-12 02:09:14,-2.8856,-40.12,77.65,82,9,16.15,clear sky
