City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Hvolsvollur,IS,2021-09-11 02:19:21,63.7533,-20.2243,47.8,94,100,5.55
249,Desaguadero,PE,2021-09-11 02:19:22,-16.5656,-69.0417,46.67,66,4,4.36
250,Benjamin Constant,BR,2021-09-11 02:19:23,-4.3831,-70.0311,75.33,98,49,1.9
251,Levelland,US,2021-09-11 02:19:23,33.5873,-102.378,85.05,31,0,10.18
252,Farafangana,MG,2021-09-11 02:19:24,-22.8167,47.8333,66.34,66,80,11.54
253,San Rafael,AR,2021-09-11 02:19:24,-34.6177,-68.3301,59.18,40,70,10.42
254,Semey,KZ,2021-09-11 02:19:25,50.4111,80.2275,62.82,42,40,11.18
255,Rundu,NA,2021-09-11 02:19:25,-17.9333,19.7667,67.55,33,6,10.4
256,Nizwa,OM,2021-09-11 02:19:26,22.9333,57.5333,90.21,38,100,2.57
257,Saskylakh,RU,2021-09-11 02:19:27,71.9167,114.0833,57.49,64,100,7.4
258,Chuy,UY,2021-09-11 02:19:27,-33.6971,-53.4616,53.85,95,68,7.92
259,Port Elizabeth,ZA,2021-09-11 02:19:28,-33.918,25.5701,53.89,87,0,4.61
260,Barra Da Estiva,BR,2021-09-11 02:19:28,-13.6261,-41.3269,65.41,55,1,5.12
261,Pital,CO,2021-09-11 02:19:29,2.2665,-75.8044,69.04,82,73,5.53
262,Hilo,US,2021-09-11 02:18:46,19.7297,-155.09,81.28,73,1,9.22
263,Sechura,PE,2021-09-11 02:19:30,-5.5569,-80.8222,65.68,81,19,12.28
264,Devgarh,IN,2021-09-11 02:19:30,25.5333,73.9,71.82,94,98,8.48
265,Petropavlovsk-Kamchatskiy,RU,2021-09-11 02:19:31,53.0452,158.6483,52.39,37,40,8.95
266,Curitibanos,BR,2021-09-11 02:19:31,-27.2828,-50.5844,44.91,97,0,0.89
267,Erice,IT,2021-09-11 02:19:32,38.037,12.5865,66.67,83,55,8.32
268,Harper,LR,2021-09-11 02:19:32,4.375,-7.7169,76.73,85,100,3.87
269,Probistip,MK,2021-09-11 02:19:31,42.0031,22.1786,57.24,57,5,3.22
270,Provideniya,RU,2021-09-11 02:19:33,64.3833,-173.3,41.7,97,100,8.66
271,Hovd,MN,2021-09-11 02:19:34,48.0056,91.6419,56.5,36,6,2.26
272,Bara,NG,2021-09-11 02:19:34,10.3744,10.7288,72.43,94,100,3.18
273,Storforshei,NO,2021-09-11 02:19:35,66.4043,14.5233,38.66,76,12,4.36
274,Kiruna,SE,2021-09-11 02:19:35,67.8557,20.2251,27.52,100,98,3.44
275,Tangjiazhuang,CN,2021-09-11 02:19:36,39.7333,118.45,79.27,78,21,4.21
276,Santo Antonio Do Ica,BR,2021-09-11 02:19:36,-3.1022,-67.9397,72.9,98,93,4.7
277,Margate,GB,2021-09-11 02:19:37,51.3813,1.3862,64.26,97,32,12.46
278,Orlandia,BR,2021-09-11 02:19:37,-20.7203,-47.8867,71.74,62,99,4.07
279,Buala,SB,2021-09-11 02:19:38,-8.145,159.5921,84.63,70,60,9.84
280,Mujiayingzi,CN,2021-09-11 02:19:39,42.1167,118.7833,68.52,53,0,3.47
281,Cockburn Town,TC,2021-09-11 02:19:10,21.4612,-71.1419,83.7,74,100,16.93
282,Zyryanka,RU,2021-09-11 02:19:39,65.75,150.85,41.02,50,86,4.65
283,Wasilla,US,2021-09-11 02:19:40,61.5814,-149.4394,55.02,87,90,0.0
284,Nantucket,US,2021-09-11 02:16:44,41.2835,-70.0995,66.96,71,0,20.69
285,Jichisu De Jos,RO,2021-09-11 02:19:40,47.1167,23.8,51.58,64,64,1.54
286,Isla Mujeres,MX,2021-09-11 02:19:40,21.2311,-86.731,80.65,88,100,12.77
287,Praia Da Vitoria,PT,2021-09-11 02:19:41,38.7333,-27.0667,68.76,88,20,15.79
288,Janakpur,NP,2021-09-11 02:19:42,26.7183,85.9065,83.28,75,100,11.3
289,Lixourion,GR,2021-09-11 02:19:42,38.2019,20.4314,70.93,68,45,4.72
290,Algiers,DZ,2021-09-11 02:19:34,36.7525,3.042,69.62,83,20,2.3
291,Umm Kaddadah,SD,2021-09-11 02:19:43,13.6017,26.6876,82.17,62,23,11.23
292,Tigil,RU,2021-09-11 02:19:44,57.8,158.6667,45.79,54,98,14.76
293,Arica,CL,2021-09-11 02:16:28,-18.475,-70.3042,57.43,88,90,3.44
